20201101 203900;1.164290;1.164470;1.164290;1.164460;0
20201101 204000;1.164450;1.164480;1.164320;1.164390;0
20201101 204100;1.164390;1.164500;1.164270;1.164270;0
20201101 204200;1.164270;1.164290;1.164220;1.164230;0
20201101 204300;1.164240;1.164240;1.164190;1.164190;0
20201101 204400;1.164190;1.164240;1.164190;1.164210;0
20201101 204500;1.164210;1.164350;1.164210;1.164300;0
20201101 204600;1.164300;1.164340;1.164290;1.164310;0
20201101 204700;1.164330;1.164400;1.164290;1.164320;0
20201101 204800;1.164320;1.164500;1.164300;1.164500;0
20201101 204900;1.164490;1.164550;1.164440;1.164540;0
20201101 205000;1.164540;1.164660;1.164490;1.164650;0
20201101 205100;1.164650;1.164660;1.164540;1.164540;0
20201101 205200;1.164550;1.164600;1.164440;1.164440;0
20201101 205300;1.164440;1.164500;1.164360;1.164360;0
20201101 205400;1.164370;1.164480;1.164370;1.164480;0
20201101 205500;1.164470;1.164470;1.164440;1.164450;0
20201101 205600;1.164450;1.164480;1.164440;1.164450;0
20201101 205700;1.164450;1.164460;1.164250;1.164300;0
20201101 205800;1.164300;1.164350;1.164260;1.164300;0
20201101 205900;1.164310;1.164320;1.164160;1.164170;0
20201101 210000;1.164180;1.164240;1.164160;1.164200;0
20201101 210100;1.164190;1.164250;1.164170;1.164190;0
20201101 210200;1.164210;1.164260;1.164190;1.164260;0
20201101 210300;1.164270;1.164320;1.164170;1.164190;0
20201101 210400;1.164180;1.164240;1.164150;1.164240;0
20201101 210500;1.164240;1.164320;1.164210;1.164300;0
20201101 210600;1.164300;1.164310;1.164140;1.164190;0
20201101 210700;1.164200;1.164250;1.164200;1.164210;0
20201101 210800;1.164220;1.164250;1.164150;1.164230;0
20201101 210900;1.164230;1.164250;1.164210;1.164210;0
20201101 211000;1.164210;1.164260;1.164210;1.164210;0
20201101 211100;1.164210;1.164250;1.164160;1.164160;0
20201101 211200;1.164160;1.164230;1.164130;1.164230;0
20201101 211300;1.164210;1.164260;1.164170;1.164170;0
20201101 211400;1.164170;1.164270;1.164130;1.164230;0
20201101 211500;1.164240;1.164270;1.164230;1.164250;0
20201101 211600;1.164250;1.164290;1.164140;1.164140;0
20201101 211700;1.164140;1.164150;1.164070;1.164090;0
20201101 211800;1.164090;1.164100;1.163920;1.163940;0
20201101 211900;1.163950;1.163960;1.163930;1.163950;0
20201101 212000;1.163930;1.164040;1.163930;1.163990;0
20201101 212100;1.163970;1.164050;1.163900;1.164000;0
20201101 212200;1.164000;1.164200;1.164000;1.164180;0
20201101 212300;1.164180;1.164210;1.164060;1.164160;0
20201101 212400;1.164160;1.164160;1.164100;1.164110;0
20201101 212500;1.164110;1.164120;1.164090;1.164100;0
20201101 212600;1.164110;1.164160;1.164100;1.164160;0
20201101 212700;1.164160;1.164160;1.164100;1.164110;0
20201101 212800;1.164110;1.164160;1.164060;1.164140;0
20201101 212900;1.164150;1.164160;1.164140;1.164150;0
20201101 213000;1.164140;1.164310;1.164130;1.164270;0
20201101 213100;1.164280;1.164350;1.164270;1.164310;0
20201101 213200;1.164320;1.164360;1.164280;1.164340;0
20201101 213300;1.164350;1.164360;1.164290;1.164290;0
20201101 213400;1.164270;1.164410;1.164230;1.164390;0
20201101 213500;1.164400;1.164410;1.164300;1.164310;0
20201101 213600;1.164320;1.164420;1.164310;1.164420;0
20201101 213700;1.164420;1.164520;1.164420;1.164460;0
20201101 213800;1.164460;1.164500;1.164420;1.164430;0
20201101 213900;1.164430;1.164460;1.164370;1.164400;0
20201101 214000;1.164410;1.164460;1.164400;1.164450;0
20201101 214100;1.164440;1.164460;1.164410;1.164440;0
20201101 214200;1.164460;1.164460;1.164420;1.164430;0
20201101 214300;1.164440;1.164460;1.164360;1.164360;0
20201101 214400;1.164360;1.164360;1.164210;1.164300;0
20201101 214500;1.164310;1.164420;1.164310;1.164360;0
20201101 214600;1.164360;1.164370;1.164320;1.164340;0
20201101 214700;1.164340;1.164460;1.164290;1.164370;0
20201101 214800;1.164360;1.164410;1.164350;1.164390;0
20201101 214900;1.164390;1.164630;1.164390;1.164570;0
20201101 215000;1.164580;1.164710;1.164570;1.164660;0
20201101 215100;1.164650;1.164670;1.164590;1.164590;0
20201101 215200;1.164590;1.164590;1.164410;1.164480;0
20201101 215300;1.164490;1.164600;1.164480;1.164510;0
20201101 215400;1.164490;1.164550;1.164480;1.164490;0
20201101 215500;1.164490;1.164490;1.164390;1.164430;0
20201101 215600;1.164420;1.164460;1.164410;1.164460;0
20201101 215700;1.164450;1.164510;1.164400;1.164470;0
20201101 215800;1.164460;1.164470;1.164400;1.164450;0
20201101 215900;1.164450;1.164550;1.164390;1.164390;0
20201101 220000;1.164380;1.164420;1.164290;1.164320;0
20201101 220100;1.164330;1.164400;1.164310;1.164370;0
20201101 220200;1.164380;1.164380;1.164300;1.164330;0
20201101 220300;1.164330;1.164360;1.164300;1.164310;0
20201101 220400;1.164320;1.164370;1.164310;1.164340;0
20201101 220500;1.164330;1.164330;1.164270;1.164290;0
20201101 220600;1.164300;1.164330;1.164280;1.164280;0
20201101 220700;1.164290;1.164290;1.164140;1.164140;0
20201101 220800;1.164170;1.164180;1.164090;1.164130;0
20201101 220900;1.164130;1.164130;1.164080;1.164100;0
20201101 221000;1.164110;1.164150;1.164110;1.164120;0
20201101 221100;1.164110;1.164220;1.164110;1.164180;0
20201101 221200;1.164190;1.164240;1.164160;1.164240;0
20201101 221300;1.164230;1.164250;1.164210;1.164230;0
20201101 221400;1.164230;1.164250;1.164170;1.164190;0
20201101 221500;1.164190;1.164260;1.164190;1.164260;0
20201101 221600;1.164260;1.164260;1.164230;1.164250;0
20201101 221700;1.164250;1.164260;1.164090;1.164100;0
20201101 221800;1.164120;1.164210;1.164090;1.164160;0
20201101 221900;1.164160;1.164230;1.164160;1.164180;0
20201101 222000;1.164170;1.164260;1.164160;1.164260;0
20201101 222100;1.164250;1.164250;1.164170;1.164210;0
20201101 222200;1.164200;1.164250;1.164190;1.164190;0
20201101 222300;1.164190;1.164260;1.164180;1.164260;0
20201101 222400;1.164250;1.164250;1.164200;1.164250;0
20201101 222500;1.164260;1.164260;1.164220;1.164240;0
20201101 222600;1.164240;1.164310;1.164240;1.164240;0
20201101 222700;1.164240;1.164240;1.164150;1.164150;0
20201101 222800;1.164160;1.164240;1.164150;1.164150;0
20201101 222900;1.164150;1.164220;1.164150;1.164170;0
20201101 223000;1.164180;1.164190;1.164130;1.164150;0
20201101 223100;1.164140;1.164160;1.164110;1.164160;0
20201101 223200;1.164160;1.164160;1.164100;1.164150;0
20201101 223300;1.164160;1.164160;1.164140;1.164160;0
20201101 223400;1.164160;1.164180;1.164110;1.164110;0
20201101 223500;1.164110;1.164140;1.164080;1.164100;0
20201101 223600;1.164110;1.164110;1.164090;1.164110;0
20201101 223700;1.164110;1.164150;1.164080;1.164120;0
20201101 223800;1.164130;1.164180;1.164110;1.164140;0
20201101 223900;1.164140;1.164140;1.163950;1.163960;0
20201101 224000;1.163960;1.164060;1.163960;1.164050;0
20201101 224100;1.164040;1.164120;1.163990;1.164000;0
20201101 224200;1.163990;1.164010;1.163950;1.164000;0
20201101 224300;1.164000;1.164050;1.164000;1.164020;0
20201101 224400;1.164020;1.164060;1.163970;1.164060;0
20201101 224500;1.164050;1.164090;1.164030;1.164030;0
20201101 224600;1.164030;1.164030;1.163920;1.163940;0
20201101 224700;1.163940;1.164030;1.163940;1.164030;0
20201101 224800;1.164040;1.164040;1.163990;1.164030;0
20201101 224900;1.164040;1.164040;1.164020;1.164040;0
20201101 225000;1.164050;1.164060;1.164040;1.164050;0
20201101 225100;1.164050;1.164060;1.164040;1.164040;0
20201101 225200;1.164050;1.164050;1.164030;1.164040;0
20201101 225300;1.164050;1.164050;1.164030;1.164040;0
20201101 225400;1.164040;1.164050;1.164030;1.164050;0
20201101 225500;1.164040;1.164060;1.164040;1.164050;0
20201101 225600;1.164040;1.164060;1.164010;1.164010;0
20201101 225700;1.164030;1.164030;1.163990;1.164010;0
20201101 225800;1.164000;1.164060;1.164000;1.164050;0
20201101 225900;1.164060;1.164070;1.164000;1.164050;0
20201101 230000;1.164040;1.164040;1.163890;1.163890;0
20201101 230100;1.163880;1.163880;1.163830;1.163850;0
20201101 230200;1.163840;1.163850;1.163790;1.163820;0
20201101 230300;1.163830;1.163830;1.163790;1.163800;0
20201101 230400;1.163790;1.163830;1.163790;1.163810;0
20201101 230500;1.163800;1.163860;1.163800;1.163850;0
20201101 230600;1.163860;1.163880;1.163840;1.163870;0
20201101 230700;1.163880;1.163890;1.163820;1.163840;0
20201101 230800;1.163820;1.163820;1.163800;1.163810;0
20201101 230900;1.163810;1.163840;1.163760;1.163830;0
20201101 231000;1.163840;1.163870;1.163820;1.163860;0
20201101 231100;1.163840;1.163840;1.163790;1.163800;0
20201101 231200;1.163780;1.163780;1.163620;1.163660;0
20201101 231300;1.163640;1.163660;1.163610;1.163640;0
20201101 231400;1.163640;1.163660;1.163620;1.163620;0
20201101 231500;1.163630;1.163630;1.163500;1.163500;0
20201101 231600;1.163500;1.163550;1.163490;1.163540;0
20201101 231700;1.163540;1.163550;1.163500;1.163520;0
20201101 231800;1.163500;1.163540;1.163450;1.163490;0
20201101 231900;1.163480;1.163550;1.163480;1.163550;0
20201101 232000;1.163540;1.163640;1.163500;1.163630;0
20201101 232100;1.163630;1.163680;1.163580;1.163590;0
20201101 232200;1.163580;1.163640;1.163580;1.163590;0
20201101 232300;1.163600;1.163610;1.163570;1.163600;0
20201101 232400;1.163590;1.163600;1.163540;1.163550;0
20201101 232500;1.163540;1.163600;1.163530;1.163530;0
20201101 232600;1.163540;1.163570;1.163490;1.163490;0
20201101 232700;1.163480;1.163520;1.163480;1.163510;0
20201101 232800;1.163500;1.163520;1.163490;1.163500;0
20201101 232900;1.163500;1.163520;1.163460;1.163520;0
20201101 233000;1.163500;1.163600;1.163500;1.163590;0
20201101 233100;1.163590;1.163620;1.163560;1.163570;0
20201101 233200;1.163570;1.163600;1.163550;1.163590;0
20201101 233300;1.163600;1.163610;1.163560;1.163570;0
20201101 233400;1.163570;1.163570;1.163490;1.163500;0
20201101 233500;1.163500;1.163540;1.163490;1.163540;0
20201101 233600;1.163530;1.163540;1.163520;1.163540;0
20201101 233700;1.163540;1.163540;1.163400;1.163400;0
20201101 233800;1.163390;1.163410;1.163310;1.163330;0
20201101 233900;1.163330;1.163380;1.163290;1.163310;0
20201101 234000;1.163300;1.163340;1.163290;1.163340;0
20201101 234100;1.163330;1.163330;1.163280;1.163300;0
20201101 234200;1.163310;1.163310;1.163210;1.163240;0
20201101 234300;1.163220;1.163220;1.163100;1.163130;0
20201101 234400;1.163140;1.163210;1.163120;1.163180;0
20201101 234500;1.163180;1.163280;1.163150;1.163270;0
20201101 234600;1.163280;1.163280;1.163220;1.163270;0
20201101 234700;1.163290;1.163380;1.163290;1.163310;0
20201101 234800;1.163300;1.163350;1.163250;1.163340;0
20201101 234900;1.163340;1.163360;1.163280;1.163360;0
20201101 235000;1.163360;1.163420;1.163350;1.163390;0
20201101 235100;1.163390;1.163390;1.163270;1.163280;0
20201101 235200;1.163270;1.163360;1.163240;1.163350;0
20201101 235300;1.163350;1.163370;1.163260;1.163270;0
20201101 235400;1.163270;1.163270;1.163170;1.163200;0
20201101 235500;1.163190;1.163200;1.163160;1.163170;0
20201101 235600;1.163160;1.163200;1.163140;1.163170;0
20201101 235700;1.163180;1.163230;1.163000;1.163040;0
20201101 235800;1.163050;1.163100;1.163010;1.163100;0
20201101 235900;1.163100;1.163100;1.163060;1.163100;0
20201102 000000;1.163090;1.163210;1.163070;1.163150;0
20201102 000100;1.163140;1.163260;1.163140;1.163260;0
20201102 000200;1.163250;1.163370;1.163250;1.163310;0
20201102 000300;1.163320;1.163350;1.163280;1.163290;0
20201102 000400;1.163290;1.163330;1.163210;1.163250;0
20201102 000500;1.163230;1.163280;1.163210;1.163250;0
20201102 000600;1.163240;1.163300;1.163240;1.163250;0
20201102 000700;1.163240;1.163290;1.163210;1.163260;0
20201102 000800;1.163250;1.163360;1.163220;1.163350;0
20201102 000900;1.163350;1.163450;1.163350;1.163410;0
20201102 001000;1.163420;1.163460;1.163400;1.163410;0
